,year,price,transmission,mileage,tax,mpg,engineSize
287,2015,17998,0,13312,125.0,57.6,2.0
288,2018,28985,1,10,145.0,50.4,2.0
289,2015,46000,1,20982,325.0,29.4,4.0
290,2018,26995,1,15600,145.0,50.4,2.0
291,2019,33985,1,5429,145.0,47.9,2.0
292,2019,30985,1,2710,145.0,40.9,1.5
293,2019,52985,1,6423,145.0,33.2,3.0
294,2017,12698,0,11017,150.0,67.3,1.0
295,2017,17298,0,16908,125.0,51.4,1.4
296,2017,16498,0,28801,125.0,49.6,2.0
297,2017,16798,0,23362,145.0,50.4,1.4
298,2013,15998,0,50025,235.0,37.7,2.0
299,2018,63985,1,8450,145.0,32.8,3.0
300,2018,27985,1,1790,145.0,50.4,2.0
301,2018,19485,1,10,145.0,53.3,1.4
302,2018,20985,0,10,145.0,52.3,1.4
303,2018,22285,1,6754,145.0,52.3,1.6
304,2014,14500,1,35423,200.0,47.9,2.0
305,2017,25000,1,16703,200.0,41.5,2.0
306,2017,15800,0,37203,125.0,51.4,1.4
307,2013,13500,1,44405,125.0,58.9,2.0
308,2014,12000,0,79389,165.0,50.4,2.0
309,2015,13800,1,61808,125.0,57.6,2.0
310,2016,11000,0,10491,0.0,67.3,1.0
311,2018,19995,0,19000,150.0,49.6,2.0
312,2016,11650,0,18900,0.0,67.3,1.0
313,2014,11850,0,50900,20.0,68.9,2.0
314,2013,12495,0,49000,325.0,29.7,2.0
315,2015,15995,0,23081,235.0,39.8,2.0
316,2020,82995,1,826,145.0,29.4,4.0
317,2019,25990,1,5987,145.0,38.2,2.0
318,2019,30995,1,2977,145.0,47.9,2.0
319,2019,34985,1,7573,145.0,39.2,2.0
320,2019,31995,0,3055,145.0,42.8,2.0
321,2019,29985,1,22,145.0,38.7,2.0
322,2019,28485,1,2250,145.0,51.4,2.0
323,2016,21498,1,20547,200.0,47.1,2.0
324,2019,32895,1,10,145.0,39.2,2.0
325,2016,22998,1,18828,260.0,35.8,3.0
326,2019,35998,1,28,145.0,32.1,2.0
327,2016,29985,1,38654,200.0,47.9,3.0
328,2014,16485,0,25764,200.0,40.4,2.0
329,2016,19485,0,28402,30.0,62.8,2.0
330,2015,13495,0,17152,30.0,56.5,1.4
331,2016,14995,0,29775,20.0,60.1,1.4
332,2017,39995,1,7801,145.0,34.0,3.0
333,2015,22990,1,60599,240.0,42.8,3.0
334,2017,12495,0,20670,30.0,57.6,1.4
335,2019,24985,1,2257,145.0,52.3,1.6
336,2019,24485,0,4039,145.0,51.4,1.6
337,2016,16485,0,21241,125.0,52.3,1.4
338,2016,20485,0,16945,160.0,49.6,2.0
339,2018,24985,1,18010,145.0,49.6,1.4
340,2017,19995,1,29653,145.0,62.8,2.0
341,2014,16000,1,75159,260.0,34.9,3.0
342,2014,14998,1,33842,200.0,47.9,2.0
343,2015,13995,0,42977,20.0,67.3,2.0
344,2019,27990,1,26,145.0,47.9,2.0
345,2016,11995,0,17454,0.0,67.3,1.0
346,2018,15995,0,17547,150.0,56.5,1.5
347,2020,35995,1,314,150.0,34.9,2.0
348,2016,13585,0,25010,30.0,58.9,1.4
349,2019,31985,1,3278,145.0,47.9,2.0
350,2019,32985,1,1285,145.0,39.2,3.0
351,2019,30985,1,4445,145.0,47.9,2.0
352,2020,34798,1,6998,145.0,38.2,2.0
353,2020,40780,1,6746,145.0,45.6,2.0
354,2015,34995,1,21245,205.0,47.9,3.0
355,2017,18995,0,27394,30.0,64.2,2.0
356,2016,12995,0,29283,0.0,67.3,1.0
357,2016,14495,0,20905,30.0,56.5,1.4
358,2017,12995,0,24386,0.0,67.3,1.0
359,2017,24995,1,11621,150.0,42.8,2.0
360,2019,20985,1,3409,145.0,43.5,1.5
361,2016,31995,1,30172,240.0,42.2,3.0
362,2015,13995,0,27016,30.0,62.8,2.0
363,2020,31985,0,7456,145.0,40.9,2.0
364,2019,29490,1,20,145.0,55.4,3.0
365,2019,20495,1,4781,150.0,40.9,2.0
366,2016,21995,1,40254,205.0,40.4,2.0
367,2019,24995,1,12320,150.0,40.9,2.0
368,2018,23995,0,16534,150.0,49.6,1.4
369,2017,22995,1,20075,150.0,42.2,2.0
370,2016,15995,0,14401,20.0,60.1,1.0
371,2016,19995,1,19430,145.0,47.9,2.0
372,2013,26995,1,28359,565.0,26.4,4.2
373,2019,49995,1,16385,150.0,33.6,3.0
374,2014,11995,0,24764,0.0,74.3,1.6
375,2014,11995,0,26141,125.0,53.3,1.4
376,2020,37331,1,7532,145.0,39.2,2.0
377,2020,39454,1,7925,145.0,45.6,2.0
378,2020,37507,1,7639,145.0,39.8,2.0
379,2020,33462,1,7914,145.0,48.7,2.0
380,2018,30995,1,15706,145.0,40.4,2.0
381,2019,25990,0,4598,145.0,38.2,2.0
382,2018,38995,1,6588,145.0,48.7,3.0
383,2016,31995,1,48248,205.0,47.9,3.0
384,2019,30995,1,4549,150.0,34.5,2.0
385,2019,18995,0,7564,145.0,51.4,1.0
386,2018,41995,1,11276,145.0,48.7,3.0
387,2016,19995,0,20141,30.0,67.3,2.0
388,2016,16995,0,16555,20.0,60.1,1.4
389,2017,14495,0,8608,145.0,67.3,1.0
390,2017,19995,0,18380,145.0,49.6,1.4
391,2017,23995,1,27136,145.0,40.4,2.0
392,2016,13995,0,36409,20.0,60.1,1.4
393,2017,27995,1,35219,150.0,50.4,3.0
394,2018,33995,1,10252,150.0,40.4,2.0
395,2018,17490,0,16380,145.0,67.3,1.6
396,2015,14990,1,30530,30.0,64.2,2.0
397,2016,30995,1,37129,235.0,42.2,3.0
398,2017,13995,0,36400,20.0,61.4,1.4
399,2018,47995,1,8618,145.0,32.8,3.0
400,2018,21995,0,9634,145.0,50.4,1.4
401,2017,19995,1,18355,145.0,68.9,1.6
402,2017,26995,1,28604,145.0,40.9,2.0
403,2017,15995,0,15187,145.0,76.3,1.6
404,2015,18990,1,43417,160.0,50.4,2.0
405,2018,35995,1,12195,145.0,50.4,3.0
406,2018,27995,1,12686,145.0,58.9,3.0
407,2019,23995,1,5356,145.0,44.1,1.5
408,2020,31265,1,7963,145.0,41.5,2.0
409,2020,36312,1,7423,145.0,51.4,2.0
410,2017,13995,0,12148,145.0,67.3,1.0
411,2016,31995,1,44525,235.0,42.2,3.0
412,2016,18495,0,20952,145.0,55.4,2.0
413,2019,33490,1,4582,145.0,39.2,3.0
414,2014,19995,0,36970,200.0,47.9,2.0
415,2015,17995,0,38244,145.0,49.6,1.4
416,2015,31995,1,26407,200.0,47.9,3.0
417,2019,23995,0,6484,145.0,49.6,1.6
418,2019,20995,0,3325,145.0,49.6,1.6
419,2017,24995,1,9078,145.0,40.4,2.0
420,2017,12995,0,22427,145.0,67.3,1.0
421,2015,14995,1,41755,150.0,53.3,2.0
422,2015,12490,1,35455,30.0,58.9,1.4
423,2017,14298,0,14607,20.0,60.1,1.0
424,2016,11498,0,24952,30.0,55.4,1.4
425,2014,11998,0,49640,30.0,64.2,2.0
426,2017,19998,0,21576,145.0,49.6,1.4
427,2017,27995,1,20870,145.0,55.4,2.0
428,2017,19995,1,30300,30.0,62.8,2.0
429,2016,19995,0,22353,160.0,49.6,2.0
430,2016,19995,1,23205,145.0,55.4,2.0
431,2017,13995,0,15361,30.0,55.4,1.4
432,2019,29995,1,8598,145.0,47.9,2.0
433,2019,19990,1,6000,145.0,52.3,1.6
434,2019,19990,1,5199,145.0,52.3,1.6
435,2018,14995,0,15092,145.0,57.7,1.4
436,2017,36990,1,3059,145.0,43.5,2.0
437,2016,24995,1,28475,200.0,40.9,2.0
438,2013,11490,0,35804,30.0,54.3,1.4
439,2017,18495,0,24000,30.0,60.1,1.4
440,2019,46990,1,3264,145.0,33.6,3.0
441,2019,23995,1,2868,145.0,52.3,1.6
442,2019,27990,1,6541,145.0,47.9,2.0
443,2019,36990,1,4511,145.0,38.2,2.0
444,2017,18995,1,27057,145.0,47.9,1.4
445,2013,12990,0,42185,145.0,55.4,2.0
446,2015,17995,1,59120,200.0,47.1,2.0
447,2016,16498,1,41431,160.0,52.3,2.0
448,2019,31998,1,30,145.0,33.2,2.0
449,2019,36995,1,5065,145.0,38.2,2.0
450,2019,36995,1,4638,145.0,38.2,2.0
451,2017,57995,1,34926,325.0,29.4,4.0
452,2018,22890,1,4642,145.0,46.3,1.6
453,2015,16995,1,29558,20.0,67.3,2.0
454,2019,33298,1,4899,145.0,47.9,2.0
455,2017,15995,0,17000,20.0,60.1,1.4
456,2017,20995,1,51204,145.0,56.5,2.0
457,2013,14995,1,38776,30.0,56.5,1.4
458,2017,19995,0,21972,145.0,49.6,1.4
459,2018,39995,1,17648,145.0,34.5,2.5
460,2017,22995,1,5674,145.0,52.3,1.4
461,2017,24995,1,22086,145.0,62.8,2.0
462,2019,39995,1,10090,145.0,37.7,3.0
463,2015,19995,1,20825,145.0,47.9,1.4
464,2015,12995,0,20042,30.0,57.6,1.4
465,2019,22663,0,3657,145.0,49.6,1.6
466,2019,24368,0,4502,145.0,47.9,1.6
467,2017,19495,1,31214,30.0,67.3,2.0
468,2018,19990,0,16414,145.0,50.4,1.4
469,2018,21495,0,27198,145.0,50.4,1.4
470,2018,28995,1,17166,145.0,43.5,2.0
471,2018,26990,1,18283,145.0,44.1,2.0
472,2018,27995,1,15076,145.0,56.5,2.0
473,2017,25995,1,29330,145.0,56.5,2.0
474,2017,19995,0,25520,145.0,50.4,1.4
475,2020,38534,1,7521,145.0,49.6,2.0
476,2019,41995,1,933,145.0,45.6,2.0
477,2019,19990,1,6018,145.0,52.3,1.6
478,2019,18495,0,11330,145.0,42.8,1.5
479,2016,33995,1,23478,235.0,42.2,3.0
480,2017,18995,0,17872,145.0,64.2,1.6
481,2019,30709,1,4327,145.0,39.8,2.0
482,2019,48136,1,4813,145.0,33.2,3.0
483,2019,24365,0,3578,145.0,47.9,1.6
484,2019,33295,1,4196,145.0,47.9,2.0
485,2015,13995,0,32065,30.0,55.4,1.4
486,2017,28995,1,15072,200.0,47.1,3.0
487,2017,16490,0,50286,145.0,61.4,2.0
488,2017,23995,1,25667,145.0,40.4,2.0
489,2017,35995,1,33165,200.0,47.9,3.0
490,2017,19995,0,27078,125.0,50.4,1.4
491,2017,19995,0,29874,125.0,50.4,1.4
492,2015,21995,1,28977,200.0,47.1,2.0
